step,illu,pmp
930,930,0.119143
931,931,0.119278
932,932,0.119413
933,933,0.119547
934,934,0.119682
935,935,0.119817
936,936,0.119952
937,937,0.120086
938,938,0.120221
939,939,0.120356
940,940,0.120491
941,941,0.120625
942,942,0.12076
943,943,0.120895
944,944,0.12103
945,945,0.121164
946,946,0.121299
947,947,0.121434
948,948,0.121569
949,949,0.121703
950,950,0.121838
951,951,0.121973
952,952,0.122108
953,953,0.122242
954,954,0.122377
955,955,0.122512
956,956,0.122647
957,957,0.122781
958,958,0.122916
959,959,0.123051
960,960,0.123186
961,961,0.123321
962,962,0.123455
963,963,0.12359
964,964,0.123725
965,965,0.123885
966,966,0.12402
967,967,0.124155
968,968,0.12429
969,969,0.124425
970,970,0.12456
971,971,0.124695
972,972,0.12483
973,973,0.124964
974,974,0.125099
975,975,0.125234
976,976,0.125369
977,977,0.125504
978,978,0.125639
979,979,0.125774
980,980,0.125909
981,981,0.126044
982,982,0.126178
983,983,0.126313
984,984,0.126448
985,985,0.126583
986,986,0.126718
987,987,0.126853
988,988,0.126988
989,989,0.127123
990,990,0.127258
991,991,0.127393
992,992,0.127527
993,993,0.127662
994,994,0.127797
995,995,0.127932
996,996,0.128093
997,997,0.128228
998,998,0.128363
999,999,0.128498
1000,1000,0.128633
