v2	V(vout)	I(R4)
Step Information: Illu_set=100  (Run: 1/10)
4.950000000000000e+000	4.950000e+000	1.000000e-004
4.975000000000000e+000	4.975000e+000	1.000000e-004
5.000000000000000e+000	5.000000e+000	1.000000e-004
Step Information: Illu_set=400  (Run: 4/10)
1.000000000000000e-001	1.000000e-001	1.674331e-002
2.000000000000000e-001	2.000000e-001	1.672991e-002
3.000000000000000e-001	3.000000e-001	1.671652e-002
4.000000000000000e-001	4.000000e-001	1.670312e-002
5.000000000000000e-001	5.000000e-001	1.668973e-002
6.000000000000000e-001	6.000000e-001	1.667633e-002
7.000000000000000e-001	7.000000e-001	1.666293e-002
8.000000000000000e-001	8.000000e-001	1.664954e-002
9.000000000000000e-001	9.000000e-001	1.663614e-002
1.000000000000000e+000	1.000000e+000	1.662275e-002
1.100000000000000e+000	1.100000e+000	1.660935e-002
1.200000000000000e+000	1.200000e+000	1.659595e-002
1.300000000000000e+000	1.300000e+000	1.658255e-002
1.400000000000000e+000	1.400000e+000	1.656915e-002
1.500000000000000e+000	1.500000e+000	1.655575e-002
1.600000000000000e+000	1.600000e+000	1.654234e-002
1.700000000000000e+000	1.700000e+000	1.652893e-002
1.800000000000000e+000	1.800000e+000	1.651550e-002
1.900000000000000e+000	1.900000e+000	1.650206e-002
2.000000000000000e+000	2.000000e+000	1.648859e-002
2.100000000000000e+000	2.100000e+000	1.647509e-002
2.200000000000000e+000	2.200000e+000	1.646152e-002
2.300000000000000e+000	2.300000e+000	1.644786e-002
2.400000000000000e+000	2.400000e+000	1.643407e-002
2.500000000000000e+000	2.500000e+000	1.642005e-002
2.600000000000000e+000	2.600000e+000	1.640571e-002
2.700000000000000e+000	2.700000e+000	1.639085e-002
2.800000000000000e+000	2.800000e+000	1.637522e-002
2.900000000000000e+000	2.900000e+000	1.635837e-002
3.000000000000000e+000	3.000000e+000	1.633967e-002
3.100000000000000e+000	3.100000e+000	1.631813e-002
3.200000000000000e+000	3.200000e+000	1.629221e-002
3.300000000000000e+000	3.300000e+000	1.625956e-002
3.400000000000000e+000	3.400000e+000	1.621658e-002
3.500000000000000e+000	3.500000e+000	1.615772e-002
3.600000000000000e+000	3.600000e+000	1.607449e-002
3.700000000000000e+000	3.700000e+000	1.595385e-002
3.800000000000000e+000	3.800000e+000	1.577589e-002
3.900000000000000e+000	3.900000e+000	1.551016e-002
4.000000000000000e+000	4.000000e+000	1.511043e-002
4.100000000000000e+000	4.100000e+000	1.450679e-002
4.200000000000000e+000	4.200000e+000	1.359454e-002
4.300000000000000e+000	4.300000e+000	1.221893e-002
4.400000000000000e+000	4.400000e+000	1.015584e-002
4.500000000000000e+000	4.500000e+000	7.090345e-003
4.600000000000000e+000	4.600000e+000	2.598743e-003
4.625000000000000e+000	4.625000e+000	1.192498e-003
4.650000000000000e+000	4.650000e+000	1.000000e-004
4.675000000000000e+000	4.675000e+000	1.000000e-004
4.700000000000000e+000	4.700000e+000	1.000000e-004
4.725000000000000e+000	4.725000e+000	1.000000e-004
