VLOAD,I(R1),V(illu)
2.1,0.0290446951172447,700
2.2,0.0290312218192557,700
2.3,0.0290176529149826,700
2.4,0.029003937036888,700
2.5,0.0289899952194643,700
2.6,0.0289757060730238,700
2.7,0.0289608829941794,700
2.8,0.0289452391380887,700
2.9,0.0289283335856769,700
3,0.0289094886226904,700
3.1,0.0288876626579451,700
3.2,0.0288612550612264,700
3.3,0.02882780661364,700
3.4,0.0287835401251191,700
3.5,0.0287226568532888,700
3.6,0.0286362610729571,700
3.7,0.0285107213482103,700
3.8,0.0283251853601207,700
3.9,0.0280478388505974,700
4,0.0276303383881458,700
4.1,0.0269996742129246,700
4.2,0.0260466106978812,700
4.3,0.0246100032896806,700
4.4,0.0224571041726751,700
4.5,0.0192620937483099,700
4.6,0.0145891383904178,700
4.625,0.0131280901414095,700
4.65,0.0115314197622602,700
4.675,0.00978932871488247,700
4.7,0.00789180160829606,700
4.725,0.00582868365159106,700
4.75,0.00358976847419035,700
4.775,0.00116489503396178,700
4.8,0.000100000000000017,700
4.825,0.0001,700
4.85,0.0001,700
4.875,0.0001,700
4.9,0.0001,700
4.925,0.0001,700
4.95,0.0001,700
4.975,0.0001,700
5,0.0001,700
0.1,0.0335001088911492,800
0.2,0.0334868135015983,800
0.3,0.0334735180939781,800
0.4,0.0334602226585802,800
0.5,0.0334469271804799,800
0.6,0.0334336316367335,800
0.7,0.0334203359920697,800
0.8,0.0334070401922663,800
0.9,0.0333937441539677,800
1,0.0333804477490324,800
1.1,0.0333671507804686,800
1.2,0.0333538529454425,800
1.3,0.0333405537784105,800
1.4,0.0333272525636944,800
1.5,0.0333139482010887,800
1.6,0.0333006389992536,800
1.7,0.0332873223581069,800
1.8,0.0332739942805644,800
1.9,0.0332606486219422,800
2,0.0332472759360813,800
2.1,0.0332338617015153,800
2.2,0.0332203835946081,800
2.3,0.0332068072976612,800
2.4,0.0331930800549616,800
2.5,0.0331791207670469,800
2.6,0.0331648047639075,800
2.7,0.0331499403997855,800
2.8,0.0331342330792896,800
2.9,0.0331172299709794,800
3,0.0330982350536919,800
3.1,0.0330761786070886,800
3.2,0.0330494167910884,800
3.3,0.0330154240382332,800
3.4,0.0329703213445325,800
3.5,0.0329081538819196,800
3.6,0.0328197869934876,800
3.7,0.0326912243276682,800
3.8,0.0325010581910066,800
3.9,0.032216633639051,800
